,Won Primary,Race,Veteran?,LGBTQ?,Elected Official?,Self-Funder?,STEM?,Obama Alum?,Party Support?,Emily Endorsed?,Guns Sense Candidate?,Biden Endorsed?,Warren Endorsed? ,Sanders Endorsed?,Our Revolution Endorsed?,Justice Dems Endorsed?,PCCC Endorsed?,Indivisible Endorsed?,WFP Endorsed?,VoteVets Endorsed?,No Labels Support?,last_name,first_initial
6,No,Nonwhite,No,No,No,No,Yes,No,,,,,,,,,,,,,,mcconnell,L
7,Yes,Nonwhite,Yes,No,No,No,No,No,,,,,,,,,,,,,,jr.,R
8,No,Nonwhite,Yes,No,No,No,No,No,,,,,,,,,,,,,,williams,A
9,Yes,White,No,No,No,No,No,No,,,,,,,,,,,,,,isner,T
10,No,Nonwhite,No,No,No,No,Yes,No,,,Yes,,,,,,,,,,,winfrey,A
11,Yes,White,No,No,No,No,No,No,,,Yes,,,,,,,,,,,hagan,M
12,Yes,White,No,No,No,No,No,No,,,Yes,,,,,,,,,,,auman,L
13,No,White,Yes,No,No,No,No,No,,,No,,,,,,,,,,,neighbors,R
14,Yes,White,No,No,No,No,No,No,,,,,,,,,,Yes,,,,joffrion,P
15,Yes,White,No,No,No,No,No,No,,,Yes,,,,,,,,,,,kline,D
18,Yes,Nonwhite,No,No,No,No,No,No,,,Yes,,,,,,,Yes,,,,desai,C
19,Yes,White,No,No,Yes,No,No,No,Yes,,Yes,,,,,,,,,,,tucker,C
20,No,White,Yes,No,No,No,No,No,No,,Yes,,,,,,,,,,,combs,G
21,No,Nonwhite,No,No,No,No,No,No,No,,No,,,,,,,,,,,dunkley,J
22,No,White,No,No,No,No,No,No,No,,No,,,,,,,,,,,spencer,P
23,Yes,White,No,No,No,No,No,No,,,,,,,,,,Yes,,,,mahony,J
24,Yes,White,No,No,No,No,No,No,,,,,,,,,,,,,,shamel,H
25,No,White,No,Yes,No,No,No,No,,,,,,,Yes,Yes,,,,,,westbrook,B
26,Yes,Nonwhite,No,No,No,No,Yes,No,,,,,,,No,No,,,,,,tipirneni,H
39,Yes,White,No,No,No,No,No,No,,,,,,,Yes,Yes,,No,,,,denney,A
40,No,White,No,No,No,No,No,No,,,,,,,No,No,,No,,,,peterson,D
41,No,White,No,No,No,No,No,No,,,,,,,No,No,,No,,,,holcombe,J
42,No,White,No,No,No,No,No,No,,,,,,,No,No,,Yes,,,,walters,M
43,No,White,No,No,No,No,Yes,No,No,No,No,,,,Yes,Yes,,No,,,,nygard,D
44,Yes,White,No,No,No,No,Yes,No,Yes,No,Yes,,,,No,No,,No,,,,harder,J
45,No,White,No,No,No,No,No,No,No,No,No,,,,No,No,,No,,,,eggman,M
46,No,White,Yes,No,No,No,Yes,No,No,No,No,,,,No,No,,No,,,,barkley,M
47,No,White,No,No,Yes,No,Yes,No,No,No,No,,,,No,No,,No,,,,zwahlen,S
48,No,Nonwhite,No,No,Yes,No,No,No,No,Yes,Yes,,,,No,No,,Yes,,,,madueno,V
49,Yes,Nonwhite,No,No,No,No,Yes,No,Yes,No,,,,,,,,,,,,cox,T
50,Yes,Nonwhite,No,No,No,No,No,No,,,,,,,,,,,,,,janz,A
51,No,Nonwhite,No,No,No,No,No,No,,,,,,,,,,,,,,bliatout,B
52,No,Nonwhite,No,No,No,No,Yes,No,,,,,,,,,,,,,,franco,R
53,No,Nonwhite,No,No,No,No,No,No,,,,,,,,,,,,,,wilson,K
54,No,Nonwhite,No,No,No,No,No,No,,,,,,,,,,,,,,barro,M
55,Yes,Nonwhite,No,No,No,No,No,No,,,,,,,,,,,,,,matta,T
56,No,White,No,No,No,No,No,No,,,,,,,,,,,,,,reed,W
57,No,White,No,No,No,No,No,No,No,No,Yes,,,,No,Yes,,,,,,caforio,B
58,No,White,No,No,No,No,Yes,No,No,No,Yes,,,,Yes,No,,,,,,phoenix,J
59,Yes,White,No,Yes,No,No,No,No,Yes,Yes,Yes,,,,No,No,,,,,,hill,K
60,No,White,No,No,No,No,No,No,No,No,,,,,No,No,,,,,,pallant,M
61,No,White,No,No,No,Yes,No,No,No,No,Yes,,,,Yes,,,No,,No,,thorburn,A
62,Yes,Nonwhite,Yes,No,No,Yes,No,No,Yes,No,Yes,,,,No,,,No,,Yes,,cisneros,G
63,No,Nonwhite,No,No,No,Yes,Yes,No,No,No,No,,,,No,,,No,,No,,lee,H
64,No,Nonwhite,No,No,No,Yes,Yes,No,No,Yes,Yes,,,,No,,,No,,No,,tran,M
65,No,Nonwhite,No,No,No,No,No,Yes,No,No,Yes,,,,No,,,Yes,,No,,jammal,S
66,No,Nonwhite,No,No,No,No,No,No,No,No,No,,,,No,,,No,,No,,leggett,S
